1.1944	-1.011	0.389	-2.625
-1.011	0.389	-2.625	2.2272
0.389	-2.625	2.2272	-0.4502
-2.625	2.2272	-0.4502	0.7292
2.2272	-0.4502	0.7292	-0.5794
-0.4502	0.7292	-0.5794	-0.7794
0.7292	-0.5794	-0.7794	-0.3412
-0.5794	-0.7794	-0.3412	-0.3298
-0.7794	-0.3412	-0.3298	-0.7255
-0.3412	-0.3298	-0.7255	-0.3686
-0.3298	-0.7255	-0.3686	0.2148
-0.7255	-0.3686	0.2148	1.5343
-0.3686	0.2148	1.5343	-0.7142
0.2148	1.5343	-0.7142	0.2476
1.5343	-0.7142	0.2476	-1.1473
-0.7142	0.2476	-1.1473	0.9742
0.2476	-1.1473	0.9742	-0.6539
-1.1473	0.9742	-0.6539	-0.4982
0.9742	-0.6539	-0.4982	1.2919
-0.6539	-0.4982	1.2919	-0.1355
-0.4982	1.2919	-0.1355	-1.0322
1.2919	-0.1355	-1.0322	0.406
-0.1355	-1.0322	0.406	-0.1572
-1.0322	0.406	-0.1572	-2.4658
0.406	-0.1572	-2.4658	0.4848
-0.1572	-2.4658	0.4848	0.3866
-2.4658	0.4848	0.3866	-0.1525
0.4848	0.3866	-0.1525	-0.7861
0.3866	-0.1525	-0.7861	-1.2847
-0.1525	-0.7861	-1.2847	-0.8079
-0.7861	-1.2847	-0.8079	-0.6388
-1.2847	-0.8079	-0.6388	0.1986
-0.8079	-0.6388	0.1986	-0.428
-0.6388	0.1986	-0.428	-1.8458
0.1986	-0.428	-1.8458	0.8091
-0.428	-1.8458	0.8091	-1.3026
-1.8458	0.8091	-1.3026	0.0001
0.8091	-1.3026	0.0001	-0.7398
-1.3026	0.0001	-0.7398	0.7669
0.0001	-0.7398	0.7669	0.9082
-0.7398	0.7669	0.9082	-2.3928
0.7669	0.9082	-2.3928	1.6053
0.9082	-2.3928	1.6053	-1.5342
-2.3928	1.6053	-1.5342	-1.7159
1.6053	-1.5342	-1.7159	0.3807
-1.5342	-1.7159	0.3807	0.0455
-1.7159	0.3807	0.0455	0.3884
0.3807	0.0455	0.3884	1.8191
0.0455	0.3884	1.8191	-0.4795
0.3884	1.8191	-0.4795	0.88
1.8191	-0.4795	0.88	-2.7984
-0.4795	0.88	-2.7984	1.332
0.88	-2.7984	1.332	1.6009
-2.7984	1.332	1.6009	1.1541
1.332	1.6009	1.1541	-2.1951
1.6009	1.1541	-2.1951	-1.6295
1.1541	-2.1951	-1.6295	-2.8425
-2.1951	-1.6295	-2.8425	4.0429
-1.6295	-2.8425	4.0429	-2.7749
-2.8425	4.0429	-2.7749	-3.0199
4.0429	-2.7749	-3.0199	4.1299
-2.7749	-3.0199	4.1299	0.9752
-3.0199	4.1299	0.9752	-0.1816
4.1299	0.9752	-0.1816	2.1028
0.9752	-0.1816	2.1028	0.042
-0.1816	2.1028	0.042	0.0955
2.1028	0.042	0.0955	-0.1766
0.042	0.0955	-0.1766	0.6534
0.0955	-0.1766	0.6534	3.0208
-0.1766	0.6534	3.0208	0.0472
0.6534	3.0208	0.0472	
3.0208	0.0472		
0.0472			
